Prevalence,Test Ratio,Parameters
5.30,0.39097910143,"3,3"
5.40,0.39559904528,"3,3"
5.50,0.40019704077,"3,3"
5.60,0.4047732139,"3,3"
5.70,0.40932768996,"3,3"
5.80,0.41386059345,"3,3"
5.90,0.41837204814,"3,3"
6.00,0.42286217703,"3,3"
6.10,0.4273311024,"3,3"
6.20,0.43177894578,"3,3"
6.30,0.43620582795,"3,3"
6.40,0.44061186899,"3,3"
6.50,0.44499718822,"3,3"
6.60,0.44936190425,"3,3"
6.70,0.45370613497,"3,3"
6.80,0.45802999755,"3,3"
6.90,0.46233360846,"3,3"
7.00,0.46661708345,"3,3"
7.10,0.47088053755,"3,3"
7.20,0.47512408512,"3,3"
7.30,0.47934783981,"3,3"
7.40,0.48355191456,"3,3"
7.50,0.48773642163,"3,3"
7.60,0.49190147262,"3,3"
7.70,0.4960471784,"3,3"
7.80,0.50017364921,"3,3"
7.90,0.50428099456,"3,3"
8.00,0.50836932335,"3,3"
8.10,0.51243874376,"3,3"
8.20,0.51648936333,"3,3"
8.30,0.52052128894,"3,3"
8.40,0.52453462681,"3,3"
8.50,0.5285294825,"3,3"
8.60,0.53250596093,"3,3"
8.70,0.53646416636,"3,3"
8.80,0.54040420242,"3,3"
8.90,0.54432617209,"3,3"
9.00,0.54823017773,"3,3"
9.10,0.55211632106,"3,3"
9.20,0.55598470316,"3,3"
9.30,0.55983542449,"3,3"
9.40,0.56366858489,"3,3"
9.50,0.56748428359,"3,3"
9.60,0.5712826192,"3,3"
9.70,0.5750636897,"3,3"
9.80,0.57882759249,"3,3"
9.90,0.58257442435,"3,3"
10.00,0.58630428144,"3,3"
10.10,0.59001725937,"3,3"
10.20,0.5937134531,"3,3"
10.30,0.59739295704,"3,3"
10.40,0.60105586498,"3,3"
10.50,0.60470227015,"3,3"
10.60,0.60833226519,"3,3"
10.70,0.61194594215,"3,3"
10.80,0.61554339252,"3,3"
10.90,0.6191247072,"3,3"
10.91,0.61948195469,"3,3"
10.92,0.61983904182,"3,3"
10.93,0.62019596867,"3,3"
10.94,0.62055273534,"3,3"
10.95,0.62090934192,"3,3"
10.96,0.62126578849,"3,3"
10.97,0.62162207515,"3,3"
10.98,0.62197820198,"3,3"
10.99,0.62229555487,"4"
11.00,0.62257759,"4"
11.10,0.62539271696,"4"
11.20,0.62819836006,"4"
11.30,0.63099454064,"4"
11.40,0.63378127998,"4"
11.50,0.63655859937,"4"
11.60,0.63932652006,"4"
11.70,0.64208506328,"4"
11.80,0.64483425022,"4"
11.90,0.64757410208,"4"
12.00,0.65030464,"4"
12.10,0.65302588512,"4"
12.20,0.65573785854,"4"
12.30,0.65844058136,"4"
12.30,0.658440581359,"4"
12.31,0.6587103456679678,"4"
12.32,0.6589800177025024,"4"
12.33,0.6592495974836478,"4"
12.34,0.6595190850324463,"4"
12.35,0.6597884803699373,"4"
12.36,0.6600577835171585,"4"
12.37,0.660326994495144,"4"
12.38,0.6605961133249264,"4"
12.39,0.6608651400275359,"4"
12.40,0.66111195733,"3"
12.50,0.66341145833,"3"
12.60,0.66570570933,"3"
12.70,0.66799471633,"3"
12.80,0.67027848533,"3"
12.90,0.67255702233,"3"
13.00,0.67483033333,"3"
13.10,0.67709842433,"3"
13.20,0.67936130133,"3"
13.30,0.68161897033,"3"
13.40,0.68387143733,"3"
13.50,0.68611870833,"3"
13.60,0.68836078933,"3"
13.70,0.69059768633,"3"
13.80,0.69282940533,"3"
13.90,0.69505595233,"3"
14.00,0.69727733333,"3"
14.10,0.69949355433,"3"
14.20,0.70170462133,"3"
14.30,0.70391054033,"3"
14.40,0.70611131733,"3"
14.50,0.70830695833,"3"
14.60,0.71049746933,"3"
14.70,0.71268285633,"3"
14.80,0.71486312533,"3"
14.90,0.71703828233,"3"
15.00,0.71920833333,"3"
15.10,0.72137328433,"3"
15.20,0.72353314133,"3"
15.30,0.72568791033,"3"
15.40,0.72783759733,"3"
15.50,0.72998220833,"3"
15.60,0.73212174933,"3"
15.70,0.73425622633,"3"
15.80,0.73638564533,"3"
15.90,0.73851001233,"3"
16.00,0.74062933333,"3"
16.10,0.74274361433,"3"
16.20,0.74485286133,"3"
16.30,0.74695708033,"3"
16.40,0.74905627733,"3"
16.50,0.75115045833,"3"
16.60,0.75323962933,"3"
16.70,0.75532379633,"3"
16.80,0.75740296533,"3"
16.90,0.75947714233,"3"
17.00,0.76154633333,"3"
17.10,0.76361054433,"3"
17.20,0.76566978133,"3"
17.30,0.76772405033,"3"
17.40,0.76977335733,"3"
17.50,0.77181770833,"3"
17.60,0.77385710933,"3"
17.70,0.77589156633,"3"
17.80,0.77792108533,"3"
17.90,0.77994567233,"3"
18.00,0.78196533333,"3"
18.10,0.78398007433,"3"
18.20,0.78598990133,"3"
18.30,0.78799482033,"3"
18.40,0.78999483733,"3"
18.50,0.79198995833,"3"
18.60,0.79398018933,"3"
18.70,0.79596553633,"3"
18.80,0.79794600533,"3"
18.90,0.79992160233,"3"
19.00,0.80189233333,"3"
19.10,0.80385820433,"3"
19.20,0.80581922133,"3"
19.30,0.80777539033,"3"
19.40,0.80972671733,"3"
19.50,0.81167320833,"3"
19.60,0.81361486933,"3"
19.70,0.81555170633,"3"
19.80,0.81748372533,"3"
19.90,0.81941093233,"3"
20.00,0.82133333333,"3"
20.10,0.82325093433,"3"
20.20,0.82516374133,"3"
20.30,0.82707176033,"3"
20.40,0.82897499733,"3"
20.50,0.83087345833,"3"
20.60,0.83276714933,"3"
20.70,0.83465607633,"3"
20.80,0.83654024533,"3"
20.90,0.83841966233,"3"
21.00,0.84029433333,"3"
21.10,0.84216426433,"3"
21.20,0.84402946133,"3"
21.30,0.84588993033,"3"
21.40,0.84774567733,"3"
21.50,0.84959670833,"3"
21.60,0.85144302933,"3"
21.70,0.85328464633,"3"
21.80,0.85512156533,"3"
21.90,0.85695379233,"3"
22.00,0.85878133333,"3"
22.10,0.86060419433,"3"
22.20,0.86242238133,"3"
22.30,0.86423590033,"3"
22.40,0.86604475733,"3"
22.50,0.86784895833,"3"
22.60,0.86964850933,"3"
22.70,0.87144341633,"3"
22.80,0.87323368533,"3"
22.90,0.87501932233,"3"
23.00,0.87680033333,"3"
23.10,0.87857672433,"3"
23.20,0.88034850133,"3"
23.30,0.88211567033,"3"
23.40,0.88387823733,"3"
23.50,0.88563620833,"3"
23.60,0.88738958933,"3"
23.70,0.88913838633,"3"
23.80,0.89088260533,"3"
23.90,0.89262225233,"3"
24.00,0.89435733333,"3"
24.10,0.89608785433,"3"
24.20,0.89781382133,"3"
24.30,0.89953524033,"3"
24.40,0.90125211733,"3"
24.50,0.90296445833,"3"
24.60,0.90467226933,"3"
24.70,0.90637555633,"3"
24.80,0.90807432533,"3"
24.90,0.90976858233,"3"
25.00,0.91145833333,"3"
25.10,0.91314358433,"3"
25.20,0.91482434133,"3"
25.30,0.91650061033,"3"
25.40,0.91817239733,"3"
25.50,0.91983970833,"3"
25.60,0.92150254933,"3"
25.70,0.92316092633,"3"
25.80,0.92481484533,"3"
25.90,0.92646431233,"3"
26.00,0.92810933333,"3"
26.10,0.92974991433,"3"
26.20,0.93138606133,"3"
26.30,0.93301778033,"3"
26.40,0.93464507733,"3"
26.50,0.93626795833,"3"
26.60,0.93788642933,"3"
26.70,0.93950049633,"3"
26.80,0.94111016533,"3"
26.90,0.94271544233,"3"
27.00,0.94431633333,"3"
27.10,0.94591284433,"3"
27.20,0.94750498133,"3"
27.30,0.94909275033,"3"
27.40,0.95067615733,"3"
27.50,0.95225520833,"3"
27.60,0.95382990933,"3"
27.70,0.95540026633,"3"
27.80,0.95696628533,"3"
27.90,0.95852797233,"3"
28.00,0.96008533333,"3"
28.10,0.96163837433,"3"
28.20,0.96318710133,"3"
28.30,0.96473152033,"3"
28.40,0.96627163733,"3"
28.50,0.96780745833,"3"
28.60,0.96933898933,"3"
28.70,0.97086623633,"3"
28.80,0.97238920533,"3"
28.90,0.97390790233,"3"
29.00,0.97542233333,"3"
29.10,0.97693250433,"3"
29.20,0.97843842133,"3"
29.30,0.97994009033,"3"
29.40,0.98143751733,"3"
29.50,0.98293070833,"3"
29.60,0.98441966933,"3"
29.70,0.98590440633,"3"
29.80,0.98738492533,"3"
29.90,0.98886123233,"3"
30.00,0.99033333333,"3"
30.10,0.99180123433,"3"
30.20,0.99326494133,"3"
30.30,0.99472446033,"3"
30.40,0.99617979733,"3"
30.50,0.99763095833,"3"
30.60,0.99907794933,"3"
